inst_name,state_abbr,city,county_name,enrollment_men,enrollment_women,enrollment_total,ath_classification_code
Los Angeles Southwest College,CA,Los Angeles,Los Angeles County,151.0,357.0,508.0,17.0
Los Angeles Trade Technical College,CA,Los Angeles,Los Angeles County,1045.0,745.0,1790.0,17.0
Los Angeles Valley College,CA,Valley Glen,Los Angeles County,1088.0,1293.0,2381.0,17.0
The Master's University and Seminary,CA,Santa Clarita,Los Angeles County,502.0,528.0,1030.0,9.0
Los Angeles City College,CA,Los Angeles,Los Angeles County,1061.0,1308.0,2369.0,17.0
Los Angeles County College of Nursing and Allied Health,CA,Los Angeles,Los Angeles County,,,,
Los Angeles Mission College,CA,Sylmar,Los Angeles County,613.0,743.0,1356.0,17.0
Los Medanos College,CA,Pittsburg,Contra Costa County,1202.0,1408.0,2610.0,17.0
Los Rios Community College District Office,CA,Sacramento,Sacramento County,,,,
Loyola Marymount University,CA,Los Angeles,Los Angeles County,3174.0,3685.0,6859.0,3.0
Lu Ross Academy,CA,Ventura,Ventura County,,,,
Lyle's College of Beauty,CA,Bakersfield,Kern County,,,,
Lyle's College of  Beauty,CA,Fresno,Fresno County,,,,
Lytles Redwood Empire Beauty College,CA,Santa Rosa,Sonoma County,,,,
MTI College,CA,Sacramento,Sacramento County,,,,
College of Marin,CA,Kentfield,Marin County,458.0,530.0,988.0,17.0
Marymount California University,CA,Rancho Palos Verdes,Los Angeles County,,,,
